station,line,lat,lon
Miyapur,Red,17.496467508005512, 78.37293646432126
JNTU College,Red,17.49869168124149, 78.38881820992887
KPHB Colony,Red,17.494154846389907, 78.40166183176935
Kukatpally,Red,17.485210907015517, 78.41149290887117
Dr.B.R.Ambedkar Balanagar,Red,17.476772576672392, 78.42193896877019
Moosapet,Red,17.472147319920673, 78.42588525867502
Bharat Nagar,Red,17.46410204542979, 78.43001209750724
Erragadda,Red,17.457139028623267, 78.43351991032091
ESI Hospital,Red,17.44744449152515, 78.43836894554785
SR Nagar,Red,17.44173579188921, 78.44161883100932
Ameerpet,Red,17.435422392512304, 78.44469984634134
Punjagutta,Red,17.42864479658827, 78.45115617224707
Irrum Manzil,Red,17.421168337258678, 78.45604094895619
Khairatabad,Red,17.41161042628322, 78.46081473405603
Lakdi-ka-pul,Red,17.403959245415866, 78.46499477953972
Assembly,Red,17.403959245415866, 78.46499477953972
Nampally,Red,17.39237928240265, 78.4701275001783
Gandhi Bhavan,Red,17.3860896720913, 78.4730875375588
Osmania Medical college,Red,17.382396211929937, 78.48106387295661
MG Bus Station,Red,17.379884300375274, 78.4859701817368
Malakpet,Red,17.377307534118792, 78.49382387695202
New Market,Red,17.373481891606993, 78.50291079554842
Musarambagh,Red,17.371185240044838, 78.51193146266004
Dilsukhnagar,Red,17.368664222057166, 78.5257289862059
Chaitanyapuri,Red,17.368406955281287, 78.53592392886017
Victoria Memorial,Red,17.36194114322529, 78.543942559293
LB Nagar,Red,17.34979114226222, 78.54795818208376
Nagole,Blue,17.391157631722134, 78.55880159802238
Uppal,Blue,17.400412476758518, 78.56018778009859
Stadium,Blue,17.407537891862255, 78.55422254729345
NGRI,Blue,17.415030179585493, 78.54625475509026
Habsiguda,Blue,17.420212734926757, 78.54053187095133
Tarnaka,Blue,17.4283301706964, 78.5285457587065
Mettuguda,Blue,17.43559720744732, 78.51960038453761
Secunderabad East,Blue,17.43572647843825, 78.50543872769195
Parade Ground,Blue,17.44336059831657, 78.4974259164221
Paradise,Blue,17.443533321574495, 78.48611757115823
Rasoolpura,Blue,17.443542164780386, 78.47628449860336
Prakash Nagar,Blue,17.44498943031783, 78.46581253527157
Begumpet,Blue,17.437598419909886, 78.45693124993129
Ameerpet,Blue,17.435722228520287, 78.44460544618428
Madhura Nagar,Blue,17.43689935156718, 78.4389835362387
Yusufguda,Blue,17.435097838389684, 78.42729983383867
Road no.5 Jubilee Hills,Blue,17.430071932109687, 78.42298684173265
Jubilee Hills Check Post,Blue,17.428223475060758, 78.41372785941688
Peddamma Gudi,Blue,17.43054710181136, 78.40850291612651
Madhapur,Blue,17.437292617151908, 78.40034900064596
Durgam Cheruvu,Blue,17.442789157658243, 78.3875816858067
HITEC CITY,Blue,17.448899642264703, 78.38320432069808
Raidurg,Blue,17.442377991786316, 78.37715481530243
MG Bus Station,Green,17.38006257469181, 78.48602133458796
Sultan Bazaar,Green,17.38408026135361, 78.4837119996459
Narayanaguda Metro Station,Green,17.395533163689812, 78.49042806131595
Chikkadpally,Green,17.400818736259822, 78.49485924671927
RTC X Roads,Green,17.40765982143279, 78.49709081904636
Musheerabad,Green,17.417868492683294, 78.49938111919117
Gandhi Hospital,Green,17.425626223661865, 78.5018576508769
Secunderabad West,Green,17.433728870199957, 78.49922280224115
JBS Parade Ground,Green,17.44444064376565, 78.49747751830179
